"filename", "language", "JavaScript", "CSS", "JavaScript React", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\JoinSuperfanModal.jsx", "JavaScript React", 0, 0, 80, 0, 0, 0, 0, 4, 84
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\MarketplaceModal.jsx", "JavaScript React", 0, 0, 198, 0, 0, 0, 119, 22, 339
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\PhotoPostModal.jsx", "JavaScript React", 0, 0, 417, 0, 0, 0, 118, 28, 563
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\PollModal.jsx", "JavaScript React", 0, 0, 175, 0, 0, 0, 0, 9, 184
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\ReportModal.jsx", "JavaScript React", 0, 0, 125, 0, 0, 0, 3, 7, 135
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\ShareModal.jsx", "JavaScript React", 0, 0, 112, 0, 0, 0, 0, 3, 115
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\ThoughtPostModal.jsx", "JavaScript React", 0, 0, 148, 0, 0, 0, 10, 9, 167
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Modals\VideoPostModal.jsx", "JavaScript React", 0, 0, 517, 0, 0, 0, 11, 27, 555
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Post.jsx", "JavaScript React", 0, 0, 1007, 0, 0, 0, 102, 65, 1174
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\TimeLine.jsx", "JavaScript React", 0, 0, 103, 0, 0, 0, 63, 15, 181
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\Utility\utilityFunc.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 54
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Home\defaultStyle.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 4, 65
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Live\Live.jsx", "JavaScript React", 0, 0, 22, 0, 0, 0, 0, 4, 26
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Live\LiveBanners.jsx", "JavaScript React", 0, 0, 55, 0, 0, 0, 0, 9, 64
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Live\LiveCategories.jsx", "JavaScript React", 0, 0, 62, 0, 0, 0, 0, 3, 65
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Live\LiveChannelCategories.jsx", "JavaScript React", 0, 0, 84, 0, 0, 0, 1, 5, 90
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Live\ScheduledStream.jsx", "JavaScript React", 0, 0, 74, 0, 0, 0, 0, 5, 79
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Loading\Loading.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 0, 4, 15
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileCard.jsx", "JavaScript React", 0, 0, 106, 0, 0, 0, 0, 7, 113
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileMedia.jsx", "JavaScript React", 0, 0, 55, 0, 0, 0, 3, 3, 61
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileMedia\Music.jsx", "JavaScript React", 0, 0, 5, 0, 0, 0, 0, 3, 8
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileMedia\Playlists.jsx", "JavaScript React", 0, 0, 5, 0, 0, 0, 0, 3, 8
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileMedia\Posts.jsx", "JavaScript React", 0, 0, 32, 0, 0, 0, 0, 5, 37
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileMedia\Videos.jsx", "JavaScript React", 0, 0, 31, 0, 0, 0, 0, 3, 34
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\ProfileVisitCard.jsx", "JavaScript React", 0, 0, 55, 0, 0, 0, 0, 3, 58
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Profile\TextChannels.jsx", "JavaScript React", 0, 0, 10, 0, 0, 0, 0, 3, 13
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Toast\Toast.jsx", "JavaScript React", 0, 0, 35, 0, 0, 0, 0, 5, 40
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Toast\ToastContainer.jsx", "JavaScript React", 0, 0, 15, 0, 0, 0, 0, 4, 19
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Wallet\ConnectWalletComponant.jsx", "JavaScript React", 0, 0, 245, 0, 0, 0, 11, 13, 269
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Wallet\CreateNewUser.jsx", "JavaScript React", 0, 0, 103, 0, 0, 0, 0, 6, 109
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Wallet\Web3Connect.jsx", "JavaScript React", 0, 0, 193, 0, 0, 0, 0, 21, 214
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Wallet\solanaRPC.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 12, 96
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Wallet\useWebModal.jsx", "JavaScript React", 0, 0, 133, 0, 0, 0, 25, 14, 172
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Helper\getUserData.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 2, 2
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Helper\nftMinter.jsx", "JavaScript React", 0, 0, 76, 0, 0, 0, 27, 12, 115
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Helper\tokenConfig.jsx", "JavaScript React", 0, 0, 12, 0, 0, 0, 3, 3, 18
